Cell,X,Y
Cell28054,2210.6718103006824,29552.170191420497
Cell29403,-4047.002060577203,9272.525327815269
Cell29505,-2707.748372144583,-14264.03655756973
Cell29977,-10006.197039541383,-2903.6068312568955
Cell30100,9702.361132646743,-8691.486096931236
Cell30504,7785.423715924298,-9892.02542943049
Cell30642,16367.129825019525,-14173.607628564605
Cell30716,14652.942474163006,-14947.773611543578
Cell31065,56.684823380312295,-8650.708505535826
Cell31345,-448.7106970285376,-12632.689151793173
Cell31361,638.039670168846,-5095.522562139184
Cell31688,888.8704384923241,-13706.145847452024
Cell31766,13757.594340562755,-15533.861105738826
Cell31778,-5958.879982652685,6545.242283176562
Cell32473,-533.0356450205159,-13039.456126076053
Cell32546,7005.623096941006,-817.8336208412794
Cell32904,3107.7730820202905,-12054.794124654327
Cell33242,2510.06315786034,37798.17802877788
Cell34025,-6820.494233694042,-7840.332392889264
Cell34214,-6671.880454508456,-10823.43166149168
Cell34374,20282.183915970225,-5695.262300213448
Cell34399,-534.6112401878167,-4056.26113717867
Cell34489,-4789.7132877065615,-10085.964850208342
Cell35004,5911.5969112328,-11454.827325406728
Cell35087,-11986.82653691271,82.27320390719689
Cell35864,-11476.89206095133,11992.493003261043
Cell36200,-8863.195710339744,-6708.773489775792
Cell36331,25372.191239361946,-7550.120528790709
Cell36453,-2593.0447395807714,1085.8330181396962
Cell36480,14991.995955286975,-5.613004935712212
Cell36800,848.3322764528037,29797.60958136375
Cell36920,7766.42964127852,34557.99588640747
Cell37747,10604.96162571087,-13231.930948791432
Cell37918,-5445.831210456236,-4085.0295423544053
Cell38485,-13699.227692641578,6287.400381992963
Cell39114,-691.7945661371978,6410.261726950645
Cell39529,10648.407074795436,-15604.499231228461
Cell39603,-10615.753750053322,-635.7666263445078
Cell40028,-1240.5338826618624,-5952.290076570273
Cell41038,377.0228037535938,35999.88386409172
Cell41289,-3316.8849327435255,-1856.594452037555
Cell41322,16909.956101586315,2603.544853931493
Cell41435,20119.39821671307,-4793.469313287593
Cell41503,3472.992682199294,-4118.892415300399
Cell41629,-13655.72978988963,-342.81108410403493
Cell41809,-1499.0026662128455,30427.169162981565
Cell41901,-14845.319213254237,6668.82716966815
Cell41949,9535.206121251049,-9414.729461408122
Cell42086,-1941.2050577068208,29493.617913284575
Cell42461,1735.2798817529174,5957.867045530882
Cell42882,4590.216590336757,37414.39823962181
Cell42968,-2209.9158058573275,-12077.324438573442
Cell43014,3255.623792851576,31359.144385760832
Cell43072,7184.359972567451,-9636.452303674101
Cell43810,-4044.3490673324086,23931.53587739679
Cell43881,1881.487414916776,-7952.256662684234
Cell44015,9011.77358912477,-14673.030094812915
Cell44075,10036.013579564666,36274.502797191766
Cell44126,-11744.714377498778,-6912.236950442796
Cell44889,354.91285826706036,29028.958400407937
Cell44909,-12034.02787328025,-2736.4760111077676
Cell44979,-6548.830577328346,8500.29289052772
Cell45004,21170.935995385145,-13540.008625238375
Cell45219,-8080.955112985708,-4270.839561719287
Cell46251,8727.614977518488,34773.68210397724
Cell46324,-66.58593422162123,-6023.860402268694
Cell46629,9678.268123943044,-6492.472208736686
Cell47034,-8747.481641599841,13629.298483686687
Cell47495,9739.112546985507,35191.3094158702
Cell47997,-12691.280489592888,411.4969725833168
Cell48210,-11855.010611929041,-4280.538172844154
Cell48450,-2318.3073091125348,25823.05381215699
Cell48525,-2223.4770519605245,-11914.479259394591
Cell48985,-9532.89445864834,17177.71329343604
Cell49017,8940.85447477874,-16613.37166009242
Cell49352,7105.1811542736705,-11979.89538214036
Cell49437,9543.96092772353,-14220.762022374933
Cell49861,-901.5222612633492,-9672.731038468637
Cell50204,5697.621648456303,-14849.092533444777
Cell50326,6889.313300561562,-10746.170520608204
Cell50483,-5421.103467210271,-8360.304539643374
Cell50560,1459.5491947463336,-14444.51815181745
Cell50665,4580.793371881531,6903.320914966437
Cell51297,10666.270191419511,-14196.608392795391
Cell51899,-648.702129315778,34340.23653753615
Cell53150,3404.7405196979557,-9367.56263806631
Cell53255,18031.000513060422,-4580.83358154037
Cell53560,-35.17161874848651,-8074.849222501905
Cell53818,8825.388515455888,-9540.928410526662
Cell54135,-11286.578951228192,-228.7969498359691
Cell54406,7778.588721714395,-16259.179691395913
Cell54688,5439.945262962843,33890.200588329324
Cell55301,-13887.619192165264,1368.5840823854564
Cell55319,-968.4041758338868,28495.81649504038
Cell55531,-8674.15852548608,11954.273982117631
Cell55702,-10678.385512821465,-5846.531873843356
Cell55940,23701.270435286613,-6917.627241704292
Cell56152,8443.087267148807,-16250.43274723771
Cell56304,-14767.711299175546,-2326.332108878568
Cell56883,-14717.972689942126,-2529.2774429548076
Cell57096,-1161.180726386276,29088.816549575193
Cell57248,-3093.37164797019,14179.393692790327
Cell57373,-576.5977063517486,-6026.281496157343
Cell57656,-11907.272144856794,2905.1593060218925
Cell57691,-7761.9467598042975,-7894.698286378759
Cell58077,622.1686853066817,-11202.235308944246
Cell58820,-5245.150698294781,11910.758668884408
Cell58848,831.1567503483896,-13788.485068271786
Cell59372,9829.432134308174,-7285.504882415424
Cell59465,5109.213463873547,-15681.01701979976
Cell59571,-11651.792913026415,-1593.6177995214864
Cell59649,-12734.334707654307,-963.9263399330289
Cell59679,8982.972919251533,-8217.119800648707
Cell59722,-12729.167484565245,-677.4927496048653
Cell60389,-10713.008116872097,548.1478228600395
Cell60516,5426.787684976604,-11928.981888594875
Cell60596,3520.0114196955105,-10857.819039289756
Cell61070,3153.2500638110882,-10894.914829977557
Cell61756,8079.975027813413,-13728.935290251062
Cell62094,10442.430410515384,493.8734656861027
Cell62282,16828.998879445397,1762.9133948963954
Cell62525,2667.0138644572717,-9700.027686454892
Cell62582,-11405.804075396833,12668.987006760408
Cell62710,24142.0555946231,-7200.029785511862
Cell62836,-9126.864173356294,18227.80555538422
Cell62886,-12708.358898398532,9065.000428270652
Cell62998,8888.792023356753,-6318.620789400192
Cell63617,-4916.669550048009,-8539.570688072852
Cell63965,16659.473612038455,-14116.794413562664
Cell64001,-9139.594181862341,-6468.09464428539
Cell64084,-13037.332437461473,10793.166872292557
Cell64164,-7851.39882269554,6589.214655005267
Cell64236,-6298.920264494968,8941.171246460179
Cell64476,8804.220625287991,38580.15490211378
Cell64653,-12053.111981762844,106.80227340232932
Cell65104,1775.5740472609455,-14215.016293326657
Cell65126,-10187.451521885016,4968.155154518076
Cell65158,4961.796407223149,-8594.534791682127
Cell65309,5256.062845494172,-14184.309531877598
Cell65474,-10215.16934639621,-7969.304289823891
Cell65625,2662.6846525559436,20049.523318474796
Cell65802,-1761.1504308140054,-10981.183805001378
Cell65809,2769.603416997483,-16192.225024729463
Cell65937,13330.854396684748,-2229.878585440023
Cell66454,13938.358644981972,-14289.67908855162
Cell66467,-122.86393662388869,-7796.063456165913
Cell66866,6225.796425351236,-11249.93545929837
Cell67482,8239.358869852002,-14541.647095003123
Cell67609,19949.458882988685,-9863.570776331999
Cell67611,3505.127282657665,-15508.678567884055
Cell67694,2119.2294736038943,30887.111342152508
Cell67789,11017.637033212044,-10720.498954546385
Cell67944,2029.4311213872372,20229.12278852815
Cell68042,10063.208627378754,-15775.785109008286
Cell68314,4128.271512617484,2711.649819252155
Cell68387,7472.686161121865,-3890.9787165875987
Cell68688,23661.314217403375,-7411.714254592582
Cell68869,18292.231210316702,1255.571495189811
Cell68928,-8022.185567272441,-1676.062825296524
Cell69257,15723.919763945874,-10956.286712955858
Cell70030,-797.5070101505411,-8916.145405564395
Cell70577,8666.15970658701,982.9935960629632
Cell70718,4753.93267240817,457.21704667967737
Cell71012,20585.26826120833,-13847.423314685362
Cell71115,-2652.470593568336,-8740.47507848282
Cell71233,2791.6417472143917,-9720.543934338324
Cell71352,-741.4379810091532,32019.481084393017
Cell71412,-13360.397759648702,6961.213563732871
Cell71700,6211.173340565262,-13842.658584250865
Cell72059,-8281.866217501201,17799.053610681465
Cell72438,-9850.431245068878,-7663.382578333632
Cell72598,3601.7803682080885,4144.352895002142
Cell72933,8844.893956928838,-8753.178999101687
Cell72961,-372.36168422445786,-5719.709902360281
